INFO  - 2016-10-29 20:32:47.244; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-10-29 20:32:47.322; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/mihalis/tmp/solr/solr-4.10.0/example/contexts at interval 0
INFO  - 2016-10-29 20:32:47.339; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/mihalis/tmp/solr/solr-4.10.0/example/contexts/solr-jetty-context.xml
INFO  - 2016-10-29 20:32:47.475; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/mihalis/tmp/solr/solr-4.10.0/example/webapps/solr.war!/ to /home/mihalis/tmp/solr/solr-4.10.0/example/solr-webapp/webapp
INFO  - 2016-10-29 20:32:51.061; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-10-29 20:32:51.253; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-10-29 20:32:51.320; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-10-29 20:32:51.320; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-10-29 20:32:51.322; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-10-29 20:32:51.752; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/mihalis/tmp/solr/solr-4.10.0/example/solr/solr.xml
INFO  - 2016-10-29 20:32:51.990; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/mihalis/tmp/solr/solr-4.10.0/example/solr
INFO  - 2016-10-29 20:32:52.009; org.apache.solr.core.CoreContainer; New CoreContainer 1915784320
INFO  - 2016-10-29 20:32:52.010; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-10-29 20:32:52.059; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-10-29 20:32:52.059; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-10-29 20:32:52.081; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-10-29 20:32:52.087; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-10-29 20:32:52.088; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-10-29 20:32:52.089; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-10-29 20:32:52.089; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-10-29 20:32:52.090; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-10-29 20:32:52.091; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-10-29 20:32:52.697; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2016-10-29 20:32:52.703; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-10-29 20:32:52.706; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-10-29 20:32:52.709; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-10-29 20:32:52.834; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/mihalis/tmp/solr/solr-4.10.0/example/solr
INFO  - 2016-10-29 20:32:52.856; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/
INFO  - 2016-10-29 20:32:52.856; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-10-29 20:32:52.861; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/'
INFO  - 2016-10-29 20:32:53.093; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-10-29 20:32:53.100; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.101; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.102; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.102; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
